Table: Table_1

,,,,,Malmöhus ,län ,,,,,,Kristianstads ,län ,,,Blekinge ,län ,,,
Endast sádana, för vilka lämplig arbetskraft ej finnes anmäld ,Malmö ,,,,,,,,,,,,,,,,,,Anmärkningar ,
Ladufogde, ogift ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,. - ,- ,X obest. anta ,
Rättare ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,,
Ladugärdsförman ,- ,1 ,- ,- ,- ,- ,-- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1) lärling. ,
Lantbruksbiträde ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Lantbrukselever ,- ,- ,- ,- ,-- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Statdrängar (kördrängar) ,- ,2 ,- ,- ,- ,- ,- ,X X ,2 ,5 ,5 ,2 ,- ,15 ,2 ,- ,- ,- ,,
Stalldrängar ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,2 ,- ,2 ,- ,1 ,-- ,- ,- ,- ,,
Fördrängar och gärdsdrängar ,- ,1 ,- ,- ,,- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,-- ,- ,,
Drängar och drängpojkar ,- ,3 ,- ,3 ,3 ,6 ,4 ,- ,7 ,10 ,6 ,18 ,- ,X 20 ,3 ,2 ,2 ,4 ,,
Ladugärdskarlar, gifta ,- ,- ,- ,- ,- ,2 ,- ,X 2 ,-- ,3 ,1 ,2 ,- ,- ,1 ,1 ,1 ,1 ,,
D:o ogifta ,- ,- ,- ,- ,- ,2 ,1 ,- ,- ,1 ,1 ,2 ,- ,- ,- ,- ,- ,- ,,
D:o mjölkare ,- ,- ,- ,- ,- ,2 ,- ,- ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Trädgärdsmästare, gift ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Stallpojke ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Betfolk och rotfruktsarbetare ,- ,- ,- ,- ,- ,- ,- ,X X ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Kuskdrängar ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 ,1 ,- ,- ,,
Rördikningsarbetare ,- ,- ,X 2 ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Kalkbruksarbetare ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Gruvarbetare ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,X X ,- ,- ,- ,- ,,
Kanalarbetare ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,10 ,- ,- ,10 ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Svetsare och lödare ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Bleckslagare ,- ,2 ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Smeder och hovslagare ,- ,- ,- ,1 ,1 ,- ,2 ,- ,- ,X 2 ,- ,- ,- ,- ,- ,- ,- ,- ,,
Smedlärlingar ,2 ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Gjutare ,-- ,- ,2 ,- ,- ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Jarnsvarvare ,- ,2 ,2 ,- ,- ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,- ,,
Rörläggare ,-- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Maskinsnickare ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Möbelsnickare ,1 ,2 ,- ,- ,- ,2 ,1 ,2 ,- ,- ,- ,- ,- ,-- ,2 ,- ,- ,- ,,
Snickarelärlingar ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,,
Vagnmakare ,- ,1 ,- ,- ,- ,- ,1 ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Filare och maskinarbetare ,- ,2 ,- ,- ,- ,3 ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,,
Byggnadssnickare ,- ,- ,- ,- ,- ,2 ,1 ,2 ,- ,- ,- ,2 ,- ,- ,2 ,- ,2 ,- ,,
Murare ,- ,- ,- ,- ,- ,- ,- ,2 ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,,
Mälarelärlingar ,- ,- ,- ,- ,- ,6 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Handelsdräng, gift ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Typograf ,- ,1 ,- ,- ,- ,- ,- ,-- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Lif-inspektörer ,- ,- ,- ,- ,- ,- ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Skomakare ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,,
Sadelmakare ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Hotelldrängar ,- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Tegelbruksarbetare ,- ,- ,- ,X X ,X X ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Volontärer till armén och flottan ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
,- ,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,





